Ar_pct,alpha,ne_cm3,Te_eV,nSF6_cm3,nSF5_cm3,nF_cm3,dissoc_pct,theta_F,theta_SF5,R_wall_fluor,R_wall_ER,R_wall_total,R_diss,Riz_Ar_frac,Ec_eV
50.0,13.009,2.186e+10,2.3999,3.661e+13,1.073e+12,4.195e+14,77.25,0.298540,0.00005477,1.8713e+18,2.8250e+18,4.6963e+18,4.1358e+21,0.0394,413.5
51.0,12.677,2.242e+10,2.3870,3.569e+13,1.028e+12,4.308e+14,77.37,0.298651,0.00005058,1.7748e+18,2.7069e+18,4.4817e+18,4.0595e+21,0.0412,414.8
52.0,12.365,2.295e+10,2.3749,3.478e+13,9.844e+11,4.419e+14,77.49,0.298752,0.00004678,1.6838e+18,2.5937e+18,4.2775e+18,3.9804e+21,0.0430,415.8
53.0,12.062,2.348e+10,2.3629,3.389e+13,9.421e+11,4.533e+14,77.60,0.298846,0.00004323,1.5962e+18,2.4829e+18,4.0791e+18,3.9000e+21,0.0448,416.7
54.0,11.767,2.403e+10,2.3508,3.301e+13,9.006e+11,4.651e+14,77.71,0.298935,0.00003990,1.5116e+18,2.3744e+18,3.8859e+18,3.8182e+21,0.0465,417.7
55.0,11.480,2.457e+10,2.3387,3.215e+13,8.601e+11,4.773e+14,77.81,0.299018,0.00003678,1.4299e+18,2.2683e+18,3.6982e+18,3.7352e+21,0.0482,418.7
56.0,11.201,2.512e+10,2.3267,3.130e+13,8.207e+11,4.898e+14,77.90,0.299095,0.00003387,1.3514e+18,2.1647e+18,3.5162e+18,3.6511e+21,0.0500,419.8
57.0,10.929,2.567e+10,2.3147,3.046e+13,7.823e+11,5.027e+14,78.00,0.299168,0.00003116,1.2760e+18,2.0639e+18,3.3399e+18,3.5658e+21,0.0516,420.8
58.0,10.663,2.622e+10,2.3028,2.963e+13,7.449e+11,5.160e+14,78.08,0.299235,0.00002864,1.2036e+18,1.9658e+18,3.1695e+18,3.4796e+21,0.0533,421.9
59.0,10.404,2.677e+10,2.2910,2.881e+13,7.087e+11,5.297e+14,78.17,0.299297,0.00002629,1.1343e+18,1.8706e+18,3.0049e+18,3.3924e+21,0.0549,423.0
60.0,10.151,2.732e+10,2.2792,2.801e+13,6.735e+11,5.437e+14,78.25,0.299355,0.00002412,1.0680e+18,1.7782e+18,2.8462e+18,3.3043e+21,0.0564,424.2
61.0,9.904,2.787e+10,2.2675,2.721e+13,6.395e+11,5.580e+14,78.32,0.299409,0.00002210,1.0046e+18,1.6887e+18,2.6933e+18,3.2154e+21,0.0579,425.5
62.0,9.661,2.843e+10,2.2558,2.642e+13,6.066e+11,5.727e+14,78.40,0.299459,0.00002024,9.4411e+17,1.6021e+18,2.5462e+18,3.1258e+21,0.0594,426.9
63.0,9.423,2.898e+10,2.2442,2.564e+13,5.748e+11,5.877e+14,78.47,0.299505,0.00001852,8.8639e+17,1.5184e+18,2.4048e+18,3.0355e+21,0.0608,428.4
64.0,9.190,2.954e+10,2.2326,2.487e+13,5.442e+11,6.030e+14,78.54,0.299547,0.00001693,8.3140e+17,1.4376e+18,2.2690e+18,2.9447e+21,0.0622,430.0
65.0,8.966,3.005e+10,2.2225,2.410e+13,5.152e+11,6.182e+14,78.61,0.299586,0.00001550,7.8029e+17,1.3611e+18,2.1414e+18,2.8545e+21,0.0635,430.7
66.0,8.739,3.061e+10,2.2108,2.334e+13,4.867e+11,6.341e+14,78.68,0.299622,0.00001414,7.3044e+17,1.2860e+18,2.0164e+18,2.7625e+21,0.0648,432.8
67.0,8.245,3.225e+10,2.1972,2.175e+13,4.655e+11,6.373e+14,79.52,0.299640,0.00001346,6.9850e+17,1.2301e+18,1.9286e+18,2.6524e+21,0.0716,428.0
68.0,6.564,3.999e+10,2.1602,1.745e+13,4.495e+11,6.180e+14,83.06,0.299632,0.00001375,6.9231e+17,1.1877e+18,1.8800e+18,2.4753e+21,0.1044,400.5
69.0,5.316,4.842e+10,2.1289,1.419e+13,4.332e+11,5.987e+14,85.78,0.299624,0.00001405,6.8492e+17,1.1447e+18,1.8296e+18,2.3066e+21,0.1418,372.9
70.0,4.389,5.722e+10,2.1022,1.176e+13,4.179e+11,5.794e+14,87.82,0.299616,0.00001436,6.7753e+17,1.1043e+18,1.7818e+18,2.1527e+21,0.1808,348.1
71.0,3.732,6.535e+10,2.0844,9.980e+12,4.051e+11,5.601e+14,89.31,0.299606,0.00001474,6.7241e+17,1.0703e+18,1.7427e+18,2.0184e+21,0.2167,325.2
72.0,3.201,7.383e+10,2.0676,8.553e+12,3.928e+11,5.408e+14,90.51,0.299595,0.00001514,6.6687e+17,1.0378e+18,1.7047e+18,1.8931e+21,0.2522,305.7
73.0,2.786,8.193e+10,2.0548,7.418e+12,3.816e+11,5.214e+14,91.46,0.299583,0.00001558,6.6189e+17,1.0082e+18,1.6701e+18,1.7781e+21,0.2851,288.3
74.0,2.448,8.992e+10,2.0444,6.478e+12,3.709e+11,5.021e+14,92.26,0.299571,0.00001606,6.5674e+17,9.7999e+17,1.6367e+18,1.6698e+21,0.3160,273.0
75.0,2.155,9.788e+10,2.0352,5.683e+12,3.605e+11,4.828e+14,92.94,0.299557,0.00001655,6.5102e+17,9.5231e+17,1.6033e+18,1.5663e+21,0.3455,259.5
76.0,1.911,1.056e+11,2.0280,5.006e+12,3.502e+11,4.635e+14,93.52,0.299543,0.00001708,6.4469e+17,9.2514e+17,1.5698e+18,1.4672e+21,0.3731,247.4
