Power_W,pOFF_Pa,Te_eV,ne_m3,alpha,dp_Pa,nSF6_m3,nSF5_m3,nSF4_m3,nSF3_m3,nF2_m3,nF_m3,nSF5+_m3,nSF4+_m3,nSF3+_m3,nF2+_m3,nSF6-_m3,nF-_m3,thF,thSF3,thSF4,thSF5
25,0.921,5.040102776291851,141243273691096.72,92.15188548673683,-0.0903420626474768,1.7994017937895617e+20,2.2970203487298834e+18,5.214808545465543e+17,1.9827133680924704e+17,6.862606060418145e+18,1.1711948943464435e+18,7260089315401106.0,337082235750331.0,5496586902036915.0,63318803456498.73,4981545984602135.0,8034287998351639.0,0.06003274179124752,0.011147701926526752,0.0648556257102766,0.3180489661343675
50,0.921,4.994645790210275,305229313169718.6,61.95385261141006,-0.08843108005231948,1.7266573284658092e+20,3.963629853314617e+18,1.3434585694137362e+18,4.033041533742466e+17,1.0518428321565452e+19,2.535585774969072e+18,1.1919648325283472e+16,643724866807432.2,6506897180387993.0,145090821489580.75,7179339552791522.0,1.173079232800715e+16,0.04341178071484822,0.007634850184371563,0.07027123402153893,0.5098969238670743
75,0.921,4.967487697482794,475729704936044.2,49.298940174652266,-0.0806116503391241,1.689295052518613e+20,5.050219347358208e+18,2.313341628841864e+18,6.150063811018209e+17,1.233955321035181e+19,3.9804123301872763e+18,1.5603638965652062e+16,975582846079200.9,7137125305635925.0,212352850515822.9,8868195603088488.0,1.4584774659858526e+16,0.03343418987836795,0.0063051064588747945,0.06774367258367138,0.6240828474720101
100,0.921,4.947582340595401,648305252802865.6,42.09956671343486,-0.06996205966775781,1.6708889131891812e+20,5.781804132590149e+18,3.314155474614572e+18,8.216028171387264e+17,1.3255784868080597e+19,5.414428810000884e+18,1.870471765391991e+16,1319054653892230.8,7653265701047870.0,264637484987407.72,1.030180220619738e+16,1.6991568034847112e+16,0.02769542076440881,0.005661170454989908,0.06475318130325466,0.6883286263934546
125,0.921,4.931762507194873,821875432668214.4,37.33173712403063,-0.0586540690587839,1.6607352013486185e+20,6.323890422977804e+18,4.2849801243801503e+18,1.0155669570554756e+18,1.380120944132565e+19,6.777513586605233e+18,2.1417266534369584e+16,1667148700896539.5,8111736395461849.0,307761403009014.8,1.15706028270891e+16,1.9111434773979616e+16,0.024588878032549846,0.005321546437832158,0.0628182462331519,0.7227464557001998
150,0.921,4.918558732530529,996665293329651.6,33.86060699739488,-0.04778356632727443,1.653242609680766e+20,6.764603653688464e+18,5.203855786080629e+18,1.196063189289186e+18,1.423563674968115e+19,8.051683256653026e+18,2.3851485385161084e+16,2017182231868022.8,8528947810010333.0,346741671668850.0,1.2718248550261218e+16,2.1029443255117404e+16,0.023054645019389284,0.005137241670832827,0.061850810163168,0.7401775272929423
175,0.921,4.907162560614408,1173100844563938.2,31.171384919845075,-0.03772795826054709,1.6460594864421998e+20,7.144071787448767e+18,6.067919121215346e+18,1.3652403351265147e+18,1.4660386309297777e+19,9.244593992761553e+18,2.607373142464572e+16,2368121581641231.5,8914015455321365.0,384410358653400.44,1.3770921319348756e+16,2.2796256656349108e+16,0.022440768190984107,0.0050369943183596385,0.06148991142208272,0.7481101828935814
200,0.921,4.897085907730663,1351464719413138.0,28.998850238860477,-0.028517040074557798,1.638436531962869e+20,7.480413529344599e+18,6.881374111288642e+18,1.5255649594151332e+18,1.5103315838631913e+19,1.0371678065079679e+19,2.8126595840854732e+16,2719479506904331.0,9274307432866070.0,422004940153210.1,1.4746602482068096e+16,2.4444320519297092e+16,0.02236782255673352,0.00498360442404137,0.06144995800088985,0.7507030802488976
250,0.921,4.879730755125354,1714365208377889.2,25.655470137587585,-0.012220492131603033,1.6216794505927397e+20,8.057277061683708e+18,8.379575549886494e+18,1.8268879015342536e+18,1.6038193482685411e+19,1.2483138305211689e+19,3.1833186928198096e+16,3422341380784801.0,9943443813869438.0,498238493983472.4,1.651659946779641e+16,2.7466245940661644e+16,0.023071590021404527,0.004945760730451006,0.06171633982182918,0.7479727889711223
300,0.921,4.86496744829136,2085398103483343.5,23.165939137042493,0.0019876223556404282,1.6037667429918635e+20,8.537163802344281e+18,9.739360829485797e+18,2.109760776508005e+18,1.699174097823691e+19,1.4465146931364174e+19,3.5125735783061492e+16,4124202543540494.0,1.0570015588541036e+16,575649730139214.6,1.810086541100603e+16,3.0209340130792948e+16,0.02431302245519215,0.0049473083173191225,0.06202618316277542,0.7406338488106997
350,0.921,4.851993802182077,2464125967071555.0,21.218324474349696,0.014761317798098195,1.5855954464718016e+20,8.943746882594209e+18,1.0990260974851682e+19,2.379141708842844e+18,1.7923704454889546e+19,1.6360467425122632e+19,3.809807146488056e+16,4824168798608811.0,1.11730767627072e+16,653433255870011.2,1.954421150762601e+16,3.2740412807368984e+16,0.025783412249283506,0.0049627564848157,0.06223428680354655,0.7315924092847998
400,0.921,4.84033733410986,2850094156170589.5,19.641105927802982,0.026507978386673847,1.567655209867883e+20,9.293030141276529e+18,1.2153001013109572e+19,2.637812508271463e+18,1.8815215899203117e+19,1.8193160897586366e+19,4.081305985032229e+16,5521768887281850.0,1.176331451460564e+16,730952129519547.9,2.0876145235709024e+16,3.5102855989849772e+16,0.027355204743579446,0.004982572701979167,0.06232750679381822,0.7219562505535404
500,0.921,4.819862224805209,3642317438905883.5,17.218867128940055,0.04785394478876237,1.5332333322121272e+20,9.862207714673375e+18,1.4270362589624762e+19,3.129454636027871e+18,2.045512746259279e+19,2.1725271517406466e+19,4.5638308326508776e+16,6909239678568087.0,1.29276190348466e+16,883730420923902.8,2.328224952531502e+16,3.943433049662663e+16,0.030594855740839883,0.005021782302785962,0.062239263947061654,0.7025285303523836
600,0.921,4.802068959394619,4459888238764380.5,15.424073919295571,0.06721346367080028,1.5010475179144246e+20,1.0304867326857714e+19,1.6173383241744521e+19,3.593339526925538e+18,2.1907734802987155e+19,2.513295807175201e+19,4.984182621231779e+16,8286632523755909.0,1.4088782106614714e+16,1032293262574763.2,2.542688517961867e+16,4.336276068688007e+16,0.03382380756851004,0.00505332676026313,0.06190262986952902,0.6838232809981294
700,0.921,4.786164247207506,5301423880577083.0,14.025804026517113,0.08518658572495941,1.4709818958347054e+20,1.0656388546501634e+19,1.7912750349040374e+19,4.0344674231051274e+18,2.319300466172897e+19,2.8454741645582336e+19,5.356993301529657e+16,9654990840158074.0,1.5257198564252206e+16,1176033871342332.5,2.737381504988909e+16,4.6982917360582936e+16,0.03697890958612187,0.005075518672756085,0.06141498696473394,0.6661504136442574
800,0.921,4.7716665165180725,6166027092321847.0,12.896667579764843,0.10212375208963786,1.4427894391350865e+20,1.0939333819822795e+19,1.952226889516291e+19,4.456196462269681e+18,2.433280133493734e+19,3.1714310966177776e+19,5.6919434197022824e+16,1.1015630699448524e+16,1.6437391307997622e+16,1314772585351737.0,2.9164482343574212e+16,5.035671935392463e+16,0.040039507677008736,0.005089000598421187,0.060835276917470024,0.6495305037434623
900,0.921,4.758259191032325,7053113022914645.0,11.959952239685867,0.11825053290053433,1.4162244110582378e+20,1.1169000553520718e+19,2.102569793852391e+19,4.860984379238595e+18,2.5346310812818956e+19,3.4927404201460847e+19,5.995828081684404e+16,1.2369859709342428e+16,1.7631359027312272e+16,1448508364581526.5,3.0827629541639364e+16,5.352726535352621e+16,0.043000035358435135,0.005094947976649401,0.0601997318233837,0.6339033704226191
1000,0.921,4.745722011481855,7962311778345539.0,11.166373256439432,0.1337220654423823,1.3910725172128624e+20,1.1356255693431804e+19,2.2440399266579874e+19,5.25072900091097e+18,2.6249513011766747e+19,3.810501457664104e+19,6.273634151282983e+16,1.3718877573225338e+16,1.883992030053338e+16,1577317692907322.8,3.2384163027777996e+16,5.652598227337233e+16,0.045860881017770895,0.005094562070679961,0.05953135306351064,0.6191891084258688
1250,0.921,4.717231648614576,1.0330936941761964e+16,9.61368487423017,0.17020080361596968,1.3332667565266377e+20,1.1686762250121884e+19,2.5667664738248847e+19,6.168604643033382e+18,2.8105853538727133e+19,4.594105214807431e+19,6.8769443104359656e+16,1.7075277419910642e+16,2.192605064315055e+16,1878537987983760.0,3.5904133667581572e+16,6.341423854606111e+16,0.052597723614233954,0.005072628830676596,0.057803758986950816,0.5858876462041184
1500,0.921,4.69165807739052,1.2836209002587524e+16,8.462908092831947,0.20433972910280396,1.2811586965003872e+20,1.1879601607611886e+19,2.8552114125277192e+19,7.018870661334579e+18,2.9501257280543048e+19,5.367836305071709e+19,7.379528529753443e+16,2.0418582654924148e+16,2.5102397934882216e+16,2151600164527298.8,3.901511085277815e+16,6.961654619650211e+16,0.058791611957228554,0.005030524722104633,0.056082587528020846,0.5567456844959808
1750,0.921,4.668100700711407,1.5480448462170448e+16,7.56442369519754,0.2367571536566211,1.233391499556228e+20,1.1980952674964085e+19,3.1173445036426195e+19,7.813486282445247e+18,3.05357171760723e+19,6.135696897426261e+19,7.805995206491946e+16,2.3758017510496612e+16,2.836474954868251e+16,2398400497597940.5,4.181688841525942e+16,7.528378274426704e+16,0.06450378735081594,0.0049768255555971384,0.05441960787183149,0.5309665346814683
2000,0.921,4.646008368359621,1.826791939238367e+16,6.836467345263487,0.2678253035867113,1.1890451352213499e+20,1.2019028717483674e+19,3.3581623132175503e+19,8.561202480364149e+18,3.127898218397544e+19,6.899777901543117e+19,8.172581589743462e+16,2.7100081351633452e+16,3.1709353730781304e+16,2620702804470502.5,4.437408412697234e+16,8.051395026496424e+16,0.06978811675595721,0.004917141378857673,0.052835376306528146,0.5079568495155116
2250,0.921,4.625018745550481,2.1204393474030788e+16,6.230117749374749,0.2977835504121056,1.147467210523024e+20,1.2012119937298672e+19,3.580993474643179e+19,9.26876324018942e+18,3.1782368070054437e+19,7.661143417863809e+19,8.490701073925509e+16,3.044947844761125e+16,3.5133621951195692e+16,2820150483254427.0,4.67311047004465e+16,8.53747634468388e+16,0.07469097390763295,0.004855182397662731,0.051336732884608965,0.4872647502923256
2500,0.921,4.604880558549962,2.4296943576934336e+16,5.714088920731241,0.326793461839596,1.1081767852908108e+20,1.1972570699013954e+19,3.7881611127754465e+19,9.941557306970276e+18,3.2085275835428758e+19,8.420281191241757e+19,8.76875289736652e+16,3.380976038401038e+16,3.863625823965243e+16,2998292080198778.5,4.891974996847609e+16,8.991514613211648e+16,0.0792524374496266,0.004793422077949557,0.04992404991734537,0.4685374760301057
2750,0.921,4.585411981826514,2.755386416718453e+16,5.267322526014557,0.3549683963955823,1.0708073582407673e+20,1.1908943857284022e+19,3.981347505817865e+19,1.0584001351232152e+19,3.2218980965820342e+19,9.177354874703939e+19,9.013134512156829e+16,3.7183769935479544e+16,4.221723836337143e+16,3156600153321076.0,5.096345329808659e+16,9.417163610846981e+16,0.08350746476967198,0.0047335109518557815,0.04859454677142274,0.4514934581895536
3000,0.921,4.566476629760035,3.098467354937748e+16,4.87505593732721,0.3823906034410942,1.0350715302682934e+20,1.1827286200594375e+19,4.161807355573439e+19,1.119977980720251e+19,3.2208947661988372e+19,9.932355350676201e+19,9.228849372315587e+16,4.057395446882963e+16,4.5877759804763016e+16,3296482305666826.5,5.287981642484884e+16,9.81722003281892e+16,0.08748683713060555,0.004676541670626919,0.04734391920181004,0.43590363422876577
3250,0.921,4.547968863569864,3.460017767950086e+16,4.526590453649488,0.409121651835497,1.0007381889926067e+20,1.1731910485731938e+19,4.330498356138946e+19,1.1792003116419797e+19,3.207630662460447e+19,1.0685196293766701e+20,9.419892931029778e+16,4.39825943109885e+16,4.962020143968131e+16,3419286597138204.5,5.46822078307479e+16,1.019386261478568e+17,0.09121789285818827,0.00462322367311349,0.04616718244210153,0.4215786132683751
3500,0.921,4.52980435349235,3.8412587646254184e+16,4.2139543853760175,0.4352090590037574,9.676172286843096e+19,1.162590015547891e+19,4.48816391215161e+19,1.2363317005730753e+19,3.1838837548401394e+19,1.1435777024466677e+20,9.589509309374358e+16,4.74119760874624e+16,5.344810707839468e+16,3526303552226907.5,5.638081297163329e+16,1.0548807919394016e+17,0.09472509831744362,0.004574001299397855,0.0450591219694299,0.4083596149146074
