Ar_fraction,Ar_percent,alpha,Te_eV,ne_cm3,nSF6_cm3,nF_cm3,nAr_metastable_cm3
0.0000,0.0,11.4715,2.8620,1.875338e+10,2.529726e+13,1.294046e+14,0.000000e+00
0.0500,5.0,9.2621,2.7965,2.329558e+10,2.083218e+13,1.357058e+14,2.161035e+09
0.1000,10.0,7.2490,2.7234,2.972208e+10,1.666774e+13,1.426653e+14,5.357720e+09
0.1500,15.0,5.5255,2.6481,3.856098e+10,1.297969e+13,1.496518e+14,9.691162e+09
0.2000,20.0,4.1533,2.5760,5.001643e+10,9.939388e+12,1.556393e+14,1.486608e+10
0.2500,25.0,3.1390,2.5149,6.334634e+10,7.602530e+12,1.594916e+14,2.032734e+10
0.3000,30.0,2.4193,2.4661,7.742067e+10,5.880414e+12,1.606201e+14,2.564866e+10
0.3500,35.0,1.9080,2.4310,9.095302e+10,4.610881e+12,1.590782e+14,3.079410e+10
0.4000,40.0,1.5364,2.4070,1.032254e+11,3.658374e+12,1.551947e+14,3.584454e+10
0.4500,45.0,1.2524,2.3906,1.142095e+11,2.920065e+12,1.494419e+14,4.087878e+10
0.5000,50.0,1.0326,2.3821,1.232870e+11,2.337790e+12,1.419897e+14,4.606341e+10
0.5500,55.0,0.8477,2.3800,1.309538e+11,1.858158e+12,1.332636e+14,5.152695e+10
0.6000,60.0,0.6950,2.3851,1.364290e+11,1.465375e+12,1.231729e+14,5.744753e+10
0.6500,65.0,0.5678,2.3965,1.397067e+11,1.140666e+12,1.118139e+14,6.393533e+10
0.7000,70.0,0.4581,2.4177,1.404196e+11,8.668263e+11,9.924362e+13,7.144723e+10
0.7500,75.0,0.3623,2.4482,1.386680e+11,6.372346e+11,8.547870e+13,8.019751e+10
0.8000,80.0,0.2766,2.4921,1.340803e+11,4.452042e+11,7.048857e+13,9.087476e+10
