EN_Td,k_iz,k_att,k_diss_like,k_iz_Ar,k_el_SF6
1,2.287862e-28,1.442369e-14,9.362934e-14,1.024100e-27,8.647319e-14
3,7.986300e-27,1.236088e-14,9.192039e-14,3.345296e-26,8.645444e-14
5,2.360748e-27,1.306260e-14,9.256767e-14,1.011668e-26,8.633887e-14
10,4.179640e-27,1.273287e-14,9.227261e-14,1.772114e-26,8.637571e-14
20,6.789128e-26,1.114569e-14,9.061407e-14,2.731230e-25,8.702552e-14
30,2.270811e-24,9.208171e-15,8.794999e-14,8.528282e-24,8.922727e-14
50,1.079829e-21,6.030834e-15,8.148172e-14,3.516202e-21,9.877975e-14
70,2.489756e-20,4.568879e-15,7.734437e-14,7.341322e-20,1.080880e-13
80,6.580172e-20,4.144205e-15,7.598760e-14,1.868526e-19,1.118934e-13
90,1.344155e-19,3.841775e-15,7.498113e-14,3.702258e-19,1.150415e-13
100,2.267056e-19,3.625978e-15,7.424428e-14,6.095870e-19,1.175579e-13
110,3.336424e-19,3.469582e-15,7.370156e-14,8.804095e-19,1.195448e-13
120,4.599213e-19,3.341758e-15,7.325321e-14,1.193958e-18,1.212832e-13
130,6.713539e-19,3.193632e-15,7.272908e-14,1.708077e-18,1.234413e-13
140,1.115273e-18,2.999240e-15,7.203555e-14,2.757386e-18,1.265381e-13
150,1.945965e-18,2.792001e-15,7.129235e-14,4.651758e-18,1.302250e-13
160,3.340171e-18,2.597040e-15,7.059383e-14,7.708589e-18,1.341269e-13
175,6.974799e-18,2.341493e-15,6.968831e-14,1.527822e-17,1.400276e-13
200,1.908051e-17,2.011889e-15,6.856172e-14,3.858088e-17,1.493802e-13
225,4.083038e-17,1.778311e-15,6.781476e-14,7.714867e-17,1.576466e-13
250,7.228121e-17,1.611941e-15,6.732196e-14,1.292283e-16,1.646692e-13
275,1.115848e-16,1.490639e-15,6.698903e-14,1.907822e-16,1.705517e-13
300,1.565154e-16,1.399208e-15,6.675533e-14,2.580312e-16,1.755015e-13
350,2.572669e-16,1.269793e-15,6.645349e-14,4.009935e-16,1.834220e-13
400,3.684149e-16,1.179830e-15,6.626611e-14,5.503547e-16,1.896826e-13
450,4.887886e-16,1.111051e-15,6.613670e-14,7.053477e-16,1.949637e-13
500,6.181459e-16,1.055275e-15,6.604145e-14,8.660924e-16,1.996051e-13
1000,2.281481e-15,7.658053e-16,6.573403e-14,2.680242e-15,2.304370e-13
