E/N_Td,x_Ar,Te_eff_ref,k_iz_ref,k_att_ref,k_diss_ref,Te_eff_pred,k_iz_pred,k_att_pred,k_diss_pred,Te_eff_rel_err,k_iz_rel_err,k_att_rel_err,k_diss_rel_err
1,0,5.332222e-01,0.000000e+00,1.715569e-14,9.055761e-14,5.538866e-01,0.000000e+00,1.647863e-14,0.000000e+00,0.0388,nan,0.0395,1.0000
1,0.1,5.510658e-01,0.000000e+00,1.637881e-14,9.015364e-14,5.617798e-01,0.000000e+00,1.645292e-14,0.000000e+00,0.0194,nan,0.0045,1.0000
1,0.2,5.990132e-01,0.000000e+00,1.486531e-14,8.893118e-14,5.650663e-01,0.000000e+00,1.646386e-14,0.000000e+00,0.0567,nan,0.1075,1.0000
1,0.3,5.163969e-01,0.000000e+00,1.793740e-14,9.090703e-14,5.634005e-01,0.000000e+00,1.651749e-14,0.000000e+00,0.0910,nan,0.0792,1.0000
1,0.5,5.716152e-01,0.000000e+00,1.593196e-14,8.958668e-14,5.436973e-01,0.000000e+00,1.678816e-14,0.000000e+00,0.0488,nan,0.0537,1.0000
1,0.67,5.444646e-01,0.000000e+00,1.683469e-14,9.025949e-14,5.083049e-01,0.000000e+00,1.724884e-14,0.000000e+00,0.0664,nan,0.0246,1.0000
3,0,6.016793e-01,0.000000e+00,1.499064e-14,8.883111e-14,5.666635e-01,2.478896e-24,1.583428e-14,3.376436e-23,0.0582,nan,0.0563,1.0000
3,0.1,5.362348e-01,0.000000e+00,1.712461e-14,9.045981e-14,5.727055e-01,4.406895e-24,1.584455e-14,3.490787e-23,0.0680,nan,0.0747,1.0000
3,0.2,5.764525e-01,0.000000e+00,1.558078e-14,8.950570e-14,5.747626e-01,5.858250e-24,1.589904e-14,3.494457e-23,0.0029,nan,0.0204,1.0000
3,0.3,5.584950e-01,0.000000e+00,1.635621e-14,8.991455e-14,5.725526e-01,6.695004e-24,1.600511e-14,3.369737e-23,0.0252,nan,0.0215,1.0000
3,0.5,5.451185e-01,0.000000e+00,1.683878e-14,9.023649e-14,5.551754e-01,5.617413e-24,1.639696e-14,2.656990e-23,0.0184,nan,0.0262,1.0000
3,0.67,5.365608e-01,0.000000e+00,1.714461e-14,9.044402e-14,5.294187e-01,3.663059e-25,1.692301e-14,1.478436e-23,0.0133,nan,0.0129,1.0000
5,0,5.763283e-01,0.000000e+00,1.571827e-14,8.948222e-14,5.579112e-01,5.286939e-26,1.609602e-14,1.912959e-23,0.0320,nan,0.0240,1.0000
5,0.1,5.608886e-01,0.000000e+00,1.615629e-14,8.988390e-14,5.631668e-01,2.336108e-24,1.612241e-14,1.965203e-23,0.0041,nan,0.0021,1.0000
5,0.2,5.481942e-01,0.000000e+00,1.672716e-14,9.016270e-14,5.656217e-01,4.359345e-24,1.618292e-14,1.915265e-23,0.0318,nan,0.0325,1.0000
5,0.3,5.722336e-01,0.000000e+00,1.573358e-14,8.961061e-14,5.651541e-01,5.928457e-24,1.628003e-14,1.739022e-23,0.0124,nan,0.0347,1.0000
5,0.5,5.699019e-01,0.000000e+00,1.597096e-14,8.963489e-14,5.567263e-01,6.482215e-24,1.656834e-14,9.233266e-24,0.0231,nan,0.0374,1.0000
5,0.67,5.499988e-01,0.000000e+00,1.655043e-14,9.015277e-14,5.474118e-01,2.414191e-24,1.682404e-14,0.000000e+00,0.0047,nan,0.0165,1.0000
10,0,5.879439e-01,0.000000e+00,1.520613e-14,8.921651e-14,5.617464e-01,0.000000e+00,1.605511e-14,0.000000e+00,0.0446,nan,0.0558,1.0000
10,0.1,5.638082e-01,0.000000e+00,1.602292e-14,8.982102e-14,5.656008e-01,0.000000e+00,1.604613e-14,0.000000e+00,0.0032,nan,0.0014,1.0000
10,0.2,5.567757e-01,0.000000e+00,1.640132e-14,8.996213e-14,5.691757e-01,2.838575e-25,1.601791e-14,0.000000e+00,0.0223,nan,0.0234,1.0000
