Power_W,pOFF_Pa,Te_eV,ne_m3,alpha,dp_Pa,nSF6_m3,nSF5_m3,nSF4_m3,nSF3_m3,nF2_m3,nF_m3,nSF5p_m3,nSF4p_m3,nSF3p_m3,nF2p_m3,nSF6m_m3,nFm_m3,theta_F,theta_SF3,theta_SF4,theta_SF5
2000.000000,0.300000,4.366056,1.303968e+17,0.589182,0.265039,1.014083e+19,3.738191e+18,8.493201e+18,9.788278e+18,1.157167e+19,7.991487e+19,6.638128e+16,4.001883e+16,9.651612e+16,4.307928e+15,2.049267e+16,5.633471e+16,0.132159,9.540844e-03,0.036707,0.283631
2000.000000,0.500000,4.493725,4.480121e+16,2.540925,0.315407,4.320499e+19,8.240969e+18,2.069151e+19,1.084157e+19,2.074035e+19,7.331347e+19,7.281990e+16,3.387126e+16,4.876381e+16,3.182741e+15,3.752120e+16,7.631531e+16,0.097108,6.976674e-03,0.043799,0.397440
2000.000000,0.750000,4.600947,2.413925e+16,5.078854,0.339615,8.760883e+19,1.090312e+19,2.922252e+19,9.422192e+18,2.762873e+19,7.006969e+19,7.921181e+16,2.937440e+16,3.534592e+16,2.806810e+15,4.277254e+16,7.982715e+16,0.077795,5.572089e-03,0.049846,0.473797
2000.000000,1.000000,4.662498,1.641395e+16,7.650436,0.356239,1.334871e+20,1.242448e+19,3.533888e+19,8.211446e+18,3.281153e+19,6.866015e+19,8.256922e+16,2.619529e+16,3.067501e+16,2.548274e+15,4.488770e+16,8.068615e+16,0.066882,4.665731e-03,0.054004,0.520723
2000.000000,1.250000,4.703172,1.241346e+16,10.228222,0.368240,1.799228e+20,1.341394e+19,4.011356e+19,7.277991e+18,3.726058e+19,6.796027e+19,8.435928e+16,2.377512e+16,2.888552e+16,2.361113e+15,4.600328e+16,8.096430e+16,0.059786,4.022421e-03,0.057069,0.552725
2000.000000,1.500000,4.732471,9.975519e+15,12.805316,0.376719,2.266203e+20,1.411858e+19,4.399222e+19,6.553261e+18,4.130998e+19,6.756050e+19,8.526283e+16,2.184788e+16,2.838478e+16,2.219720e+15,4.668392e+16,8.105576e+16,0.054732,3.545446e-03,0.059453,0.576268
2000.000000,1.750000,4.754795,8.335677e+15,15.381373,0.382501,2.734943e+20,1.465725e+19,4.722514e+19,5.980381e+18,4.509731e+19,6.728613e+19,8.561715e+16,2.026460e+16,2.855986e+16,2.108225e+15,4.714056e+16,8.107359e+16,0.050875,3.180893e-03,0.061390,0.594676
2000.000000,2.000000,4.772476,7.157185e+15,17.957774,0.386238,3.205279e+20,1.509311e+19,4.997215e+19,5.519606e+18,4.868729e+19,6.705585e+19,8.560773e+16,1.893410e+16,2.912553e+16,2.016927e+15,4.746849e+16,8.105862e+16,0.047766,2.895660e-03,0.063021,0.609811
2000.000000,2.500000,4.798877,5.575985e+15,23.117204,0.389455,4.150828e+20,1.578633e+19,5.441458e+19,4.832388e+18,5.540145e+19,6.659034e+19,8.490311e+16,1.681125e+16,3.088972e+16,1.873077e+15,4.791134e+16,8.098983e+16,0.042857,2.484239e-03,0.065700,0.634288
2000.000000,3.000000,4.817742,4.563517e+15,28.291046,0.389062,5.102945e+20,1.634960e+19,5.788115e+19,4.353440e+18,6.161240e+19,6.603866e+19,8.365502e+16,1.518560e+16,3.306804e+16,1.761532e+15,4.820131e+16,8.090536e+16,0.038907,2.208531e-03,0.067919,0.654563
2000.000000,3.500000,4.831923,3.859752e+15,33.481495,0.386580,6.061252e+20,1.684553e+19,6.069174e+19,4.008336e+18,6.741634e+19,6.538425e+19,8.210941e+16,1.389846e+16,3.541177e+16,1.670378e+15,4.840979e+16,8.082047e+16,0.035452,2.016517e-03,0.069886,0.672782
2000.000000,4.000000,4.842966,3.342377e+15,38.687796,0.382888,7.025041e+20,1.730322e+19,6.304512e+19,3.753691e+18,7.288810e+19,6.464054e+19,8.040242e+16,1.285434e+16,3.780125e+16,1.593550e+15,4.856917e+16,8.074001e+16,0.032273,1.879222e-03,0.071713,0.690000
2000.000000,4.500000,4.851793,2.946201e+15,43.907974,0.378508,7.993507e+20,1.773737e+19,6.507228e+19,3.562611e+18,7.808930e+19,6.382767e+19,7.861551e+16,1.199143e+16,4.017343e+16,1.527544e+15,4.869627e+16,8.066544e+16,0.029258,1.779335e-03,0.073463,0.706771
