Ar_fraction,Ar_percent,alpha,Te_eV,ne_cm3,nSF6_cm3,nF_cm3,nAr_metastable_cm3
0.0000,0.0,35.2205,2.9862,6.266613e+09,7.663400e+13,1.194366e+14,0.000000e+00
0.0500,5.0,31.0579,2.9553,7.149864e+09,6.720073e+13,1.226305e+14,7.378105e+08
0.1000,10.0,26.1207,2.9055,8.575869e+09,5.729307e+13,1.280948e+14,1.916488e+09
0.1500,15.0,21.3161,2.8468,1.060186e+10,4.749536e+13,1.347203e+14,3.862041e+09
0.2000,20.0,16.6281,2.7699,1.375223e+10,3.785625e+13,1.429098e+14,7.204320e+09
0.2500,25.0,12.1816,2.6744,1.897121e+10,2.847171e+13,1.530355e+14,1.315427e+10
0.3000,30.0,8.3583,2.5636,2.770450e+10,2.009026e+13,1.640466e+14,2.310435e+10
0.3500,35.0,5.7001,2.4648,3.973046e+10,1.393677e+13,1.719833e+14,3.593011e+10
0.4000,40.0,4.0931,2.3897,5.285972e+10,1.003703e+13,1.743308e+14,4.832896e+10
0.4500,45.0,3.1005,2.3335,6.558366e+10,7.532491e+12,1.719244e+14,5.902203e+10
0.5000,50.0,2.4305,2.2900,7.749209e+10,5.798273e+12,1.661949e+14,6.825427e+10
0.5500,55.0,1.9481,2.2556,8.832104e+10,4.522586e+12,1.579731e+14,7.646393e+10
0.6000,60.0,1.5749,2.2271,9.823993e+10,3.533341e+12,1.478789e+14,8.395916e+10
0.6500,65.0,1.2758,2.2037,1.070430e+11,2.741906e+12,1.361513e+14,9.103514e+10
0.7000,70.0,1.0207,2.1857,1.147200e+11,2.086488e+12,1.230472e+14,9.809668e+10
0.7500,75.0,0.8040,2.1735,1.208511e+11,1.539907e+12,1.084861e+14,1.054507e+11
0.8000,80.0,0.6089,2.1675,1.251488e+11,1.080343e+12,9.238640e+13,1.135507e+11
