Power_W,Te_eV,ne_cm3,alpha,nF_cm3,nF2_cm3,nSF6_cm3,nSF5_cm3,nSF4_cm3,nSF3_cm3,nSF2_cm3,nSF_cm3,nS_cm3,nAr_ground_cm3,nAr_metastable_cm3,Ec_eV,eps_T_eV,SF6_dissoc_pct,R_Penning_m3s,converged
200.0,2.5313,4.900227e+09,15.0715,2.037485e+13,2.990457e+13,1.112267e+13,1.447101e+12,2.235062e+12,1.859604e+11,2.237018e+11,1.195727e+11,1.437397e+11,2.575060e+14,2.507472e+10,565.40,583.77,82.72,5.5780e+19,True
250.0,2.4297,8.170323e+09,9.8043,2.626756e+13,2.806097e+13,7.947111e+12,1.286348e+12,1.872833e+12,1.797650e+11,2.361975e+11,1.371575e+11,1.987120e+11,2.575060e+14,4.106480e+10,467.95,485.58,87.66,6.5269e+19,True
300.0,2.3703,1.193293e+10,7.0073,3.166142e+13,2.615050e+13,6.100109e+12,1.148850e+12,1.620334e+12,1.742524e+11,2.433786e+11,1.486846e+11,2.442039e+11,2.575060e+14,5.659007e+10,372.16,389.36,90.52,6.9041e+19,True
350.0,2.3380,1.574950e+10,5.4389,3.636867e+13,2.459838e+13,5.000686e+12,1.045929e+12,1.464586e+12,1.725824e+11,2.514761e+11,1.586727e+11,2.830834e+11,2.575060e+14,6.932620e+10,308.41,325.38,92.23,6.9336e+19,True
400.0,2.3151,1.966031e+10,4.4364,4.057114e+13,2.333428e+13,4.284686e+12,9.679777e+11,1.364705e+12,1.734114e+11,2.605539e+11,1.680730e+11,3.183798e+11,2.575060e+14,7.919843e+10,267.75,284.55,93.34,6.7868e+19,True
450.0,2.2975,2.365689e+10,3.7391,4.440595e+13,2.228015e+13,3.777774e+12,9.064401e+11,1.295805e+12,1.755335e+11,2.699680e+11,1.769664e+11,3.509683e+11,2.575060e+14,8.678318e+10,240.47,257.14,94.13,6.5569e+19,True
500.0,2.2828,2.775325e+10,3.2230,4.796227e+13,2.137531e+13,3.395598e+12,8.559683e+11,1.244810e+12,1.782286e+11,2.792085e+11,1.852739e+11,3.812227e+11,2.575060e+14,9.260425e+10,221.20,237.77,94.73,6.2889e+19,True
550.0,2.2701,3.195620e+10,2.8234,5.129666e+13,2.057968e+13,3.093437e+12,8.132442e+11,1.204608e+12,1.810930e+11,2.879754e+11,1.929377e+11,4.093078e+11,2.575060e+14,9.708113e+10,206.98,223.46,95.19,6.0063e+19,True
600.0,2.2586,3.627337e+10,2.5031,5.444908e+13,1.986589e+13,2.845577e+12,7.761319e+11,1.171149e+12,1.839077e+11,2.961207e+11,1.999436e+11,4.353629e+11,2.575060e+14,1.005322e+11,196.10,212.49,95.58,5.7214e+19,True
650.0,2.2482,4.070802e+10,2.2394,5.744694e+13,1.921539e+13,2.636392e+12,7.432267e+11,1.142036e+12,1.865542e+11,3.035808e+11,2.063024e+11,4.594964e+11,2.575060e+14,1.031975e+11,187.51,203.83,95.90,5.4414e+19,True
700.0,2.2388,4.522525e+10,2.0199,6.029501e+13,1.861876e+13,2.456518e+12,7.136821e+11,1.115859e+12,1.889538e+11,3.103015e+11,2.120085e+11,4.816228e+11,2.575060e+14,1.052732e+11,180.56,196.81,96.18,5.1721e+19,True
750.0,2.2292,4.992390e+10,1.8310,6.301893e+13,1.806143e+13,2.300039e+12,6.869595e+11,1.092066e+12,1.911262e+11,3.163643e+11,2.171427e+11,5.023954e+11,2.575060e+14,1.067472e+11,174.98,191.16,96.43,4.9105e+19,True
800.0,2.2218,5.463383e+10,1.6681,6.564688e+13,1.753947e+13,2.157972e+12,6.618504e+11,1.068867e+12,1.929980e+11,3.217543e+11,2.217299e+11,5.209811e+11,2.575060e+14,1.080950e+11,170.00,186.13,96.65,4.6653e+19,True
850.0,2.2136,5.956472e+10,1.5211,6.816581e+13,1.704484e+13,2.032249e+12,6.388825e+11,1.047314e+12,1.946481e+11,3.265564e+11,2.258218e+11,5.385958e+11,2.575060e+14,1.089438e+11,165.98,182.05,96.84,4.4280e+19,True
900.0,2.2075,6.441555e+10,1.3991,7.056404e+13,1.658370e+13,1.917616e+12,6.173249e+11,1.026171e+12,1.959978e+11,3.307047e+11,2.293908e+11,5.539459e+11,2.575060e+14,1.097879e+11,162.30,178.32,97.02,4.2106e+19,True
950.0,2.2018,6.941579e+10,1.2886,7.289064e+13,1.614077e+13,1.812291e+12,5.969513e+11,1.005573e+12,1.971345e+11,3.343666e+11,2.325668e+11,5.681497e+11,2.575060e+14,1.104345e+11,159.07,175.05,97.18,4.0028e+19,True
