Quantity,Units,Pure_SF6,20pct_Ar,50pct_Ar,80pct_Ar
ne,cm-3,6.103368e+09,1.375764e+10,7.749569e+10,1.252193e+11
Te,eV,2.9963,2.7698,2.2900,2.1674
alpha,-,36.1275,16.6216,2.4305,0.6066
nF,cm-3,1.180018e+14,1.429318e+14,1.661987e+14,9.240397e+13
nF2,cm-3,1.309947e+14,9.105469e+13,3.132404e+13,1.247370e+13
nSF6,cm-3,7.729156e+13,3.784903e+13,5.797889e+12,1.079823e+12
nSF5,cm-3,3.620455e+12,2.794244e+12,1.144197e+12,4.369875e+11
nSF4,cm-3,9.850925e+12,6.310779e+12,2.154551e+12,8.158133e+11
nSF3,cm-3,4.346007e+11,3.973900e+11,2.942427e+11,1.990716e+11
nAr_ground,cm-3,0.000000e+00,6.437649e+13,1.609412e+14,2.575060e+14
nAr_metastable,cm-3,0.000000e+00,7.206923e+09,6.825652e+10,1.135429e+11
Ec,eV,2.791271e+02,2.990831e+02,1.839985e+02,1.384940e+02
eps_T,eV,3.008738e+02,3.191858e+02,2.006192e+02,1.542239e+02
SF6_dissociation,%,75.9876,85.3017,96.3975,98.3226
