Ar_fraction,Ar_percent,Power_W,Te_eV,ne_cm3,alpha,nF_cm3,nSF6_cm3,nAr_ground_cm3,nAr_metastable_cm3,Ec_eV,SF6_dissoc_pct,R_Penning_m3s
0.0000,0.0,1500.0,2.9862,6.266613e+09,35.2205,1.194366e+14,7.663400e+13,0.000000e+00,0.000000e+00,281.29,76.19,0.0000e+00
0.0500,5.0,1500.0,2.9553,7.149864e+09,31.0579,1.226305e+14,6.720073e+13,1.609412e+13,7.378105e+08,284.43,78.02,9.9163e+18
0.1000,10.0,1500.0,2.9055,8.575869e+09,26.1207,1.280948e+14,5.729307e+13,3.218824e+13,1.916488e+09,290.20,80.22,2.1960e+19
0.1500,15.0,1500.0,2.8468,1.060186e+10,21.3161,1.347203e+14,4.749536e+13,4.828237e+13,3.862041e+09,295.00,82.64,3.6686e+19
0.2000,20.0,1500.0,2.7699,1.375223e+10,16.6281,1.429098e+14,3.785625e+13,6.437649e+13,7.204320e+09,299.07,85.30,5.4546e+19
0.2500,25.0,1500.0,2.6744,1.897121e+10,12.1816,1.530355e+14,2.847171e+13,8.047061e+13,1.315427e+10,296.97,88.21,7.4905e+19
0.3000,30.0,1500.0,2.5636,2.770450e+10,8.3583,1.640466e+14,2.009026e+13,9.656473e+13,2.310435e+10,281.59,91.08,9.2835e+19
0.3500,35.0,1500.0,2.4648,3.973046e+10,5.7001,1.719833e+14,1.393677e+13,1.126589e+14,3.593011e+10,252.37,93.34,1.0015e+20
0.4000,40.0,1500.0,2.3897,5.285972e+10,4.0931,1.743308e+14,1.003703e+13,1.287530e+14,4.832896e+10,223.37,94.80,9.7016e+19
0.4500,45.0,1500.0,2.3335,6.558366e+10,3.1005,1.719244e+14,7.532491e+12,1.448471e+14,5.902203e+10,200.83,95.75,8.8917e+19
0.5000,50.0,1500.0,2.2900,7.749209e+10,2.4305,1.661949e+14,5.798273e+12,1.609412e+14,6.825427e+10,184.01,96.40,7.9151e+19
0.5500,55.0,1500.0,2.2556,8.832104e+10,1.9481,1.579731e+14,4.522586e+12,1.770353e+14,7.646393e+10,171.40,96.88,6.9163e+19
0.6000,60.0,1500.0,2.2271,9.823993e+10,1.5749,1.478789e+14,3.533341e+12,1.931295e+14,8.395916e+10,161.80,97.26,5.9331e+19
0.6500,65.0,1500.0,2.2037,1.070430e+11,1.2758,1.361513e+14,2.741906e+12,2.092236e+14,9.103514e+10,154.35,97.57,4.9922e+19
0.7000,70.0,1500.0,2.1857,1.147200e+11,1.0207,1.230472e+14,2.086488e+12,2.253177e+14,9.809668e+10,148.18,97.84,4.0936e+19
0.7500,75.0,1500.0,2.1735,1.208511e+11,0.8040,1.084861e+14,1.539907e+12,2.414118e+14,1.054507e+11,143.02,98.09,3.2477e+19
0.8000,80.0,1500.0,2.1675,1.251488e+11,0.6089,9.238640e+13,1.080343e+12,2.575060e+14,1.135507e+11,138.50,98.32,2.4535e+19
0.8500,85.0,1500.0,2.1709,1.268917e+11,0.4324,7.447515e+13,6.957774e+11,2.736001e+14,1.232862e+11,134.18,98.56,1.7156e+19
0.9000,90.0,1500.0,2.1907,1.245913e+11,0.2701,5.416669e+13,3.820028e+11,2.896942e+14,1.366149e+11,129.38,98.81,1.0437e+19
0.9500,95.0,1500.0,2.2455,1.144617e+11,0.1229,3.018729e+13,1.443887e+11,3.057883e+14,1.589045e+11,122.74,99.10,4.5888e+18
1.0000,100.0,1500.0,2.3779,9.348539e+10,0.0010,0.000000e+00,0.000000e+00,3.218824e+14,2.047116e+11,112.25,100.00,0.0000e+00
