Power_W,Te_eV,ne_cm3,alpha,nF_cm3,nF2_cm3,nSF6_cm3,nSF5_cm3,nSF4_cm3,nSF3_cm3,nSF2_cm3,nSF_cm3,nS_cm3,nAr_ground_cm3,nAr_metastable_cm3,Ec_eV,eps_T_eV,SF6_dissoc_pct,R_Penning_m3s,converged
200.0,3.3452,5.375611e+08,128.2019,1.530941e+13,5.425550e+13,8.522476e+13,2.271471e+12,5.172366e+12,1.528180e+11,2.366327e+11,7.742934e+10,3.696168e+10,1.609412e+14,7.136961e+08,240.91,265.19,47.05,1.2165e+19,True
250.0,3.2596,8.054197e+08,98.3944,1.930706e+13,6.109838e+13,7.454018e+13,2.413591e+12,5.744231e+12,2.000922e+11,2.784292e+11,1.063898e+11,6.333993e+10,1.609412e+14,1.120104e+09,260.44,284.10,53.68,1.6699e+19,True
300.0,3.1763,1.160651e+09,76.6517,2.372092e+13,6.620228e+13,6.542245e+13,2.507780e+12,6.096555e+12,2.427676e+11,3.201706e+11,1.378526e+11,9.812286e+10,1.609412e+14,1.680035e+09,281.33,304.38,59.35,2.1982e+19,True
350.0,3.1024,1.602356e+09,61.2352,2.844266e+13,6.964524e+13,5.784590e+13,2.559720e+12,6.250151e+12,2.772813e+11,3.591698e+11,1.693499e+11,1.390905e+11,1.609412e+14,2.405382e+09,300.97,323.48,64.06,2.7828e+19,True
400.0,3.0351,2.142402e+09,49.8681,3.347714e+13,7.171726e+13,5.147432e+13,2.578587e+12,6.250983e+12,3.032568e+11,3.928905e+11,1.987548e+11,1.836560e+11,1.609412e+14,3.321283e+09,319.23,341.25,68.02,3.4192e+19,True
450.0,2.9729,2.795185e+09,41.2130,3.882200e+13,7.267066e+13,4.602776e+13,2.571183e+12,6.138795e+12,3.213078e+11,4.200397e+11,2.246052e+11,2.292472e+11,1.609412e+14,4.457427e+09,335.85,357.43,71.40,4.1033e+19,True
500.0,2.9142,3.581238e+09,34.4176,4.448536e+13,7.270881e+13,4.127713e+13,2.542445e+12,5.945103e+12,3.325316e+11,4.403770e+11,2.462011e+11,2.738978e+11,1.609412e+14,5.853763e+09,350.61,371.76,74.35,4.8325e+19,True
550.0,2.8583,4.527462e+09,28.9444,5.047646e+13,7.198643e+13,3.705154e+13,2.495817e+12,5.693715e+12,3.381089e+11,4.543165e+11,2.634053e+11,3.162987e+11,1.609412e+14,7.561609e+09,363.14,383.88,76.98,5.6034e+19,True
600.0,2.8044,5.669379e+09,24.4405,5.680706e+13,7.062023e+13,3.322641e+13,2.433715e+12,5.402523e+12,3.391550e+11,4.626189e+11,2.764489e+11,3.557421e+11,1.609412e+14,9.645974e+09,372.91,393.26,79.35,6.4100e+19,True
650.0,2.7522,7.050412e+09,20.6771,6.347878e+13,6.870489e+13,2.971974e+13,2.358050e+12,5.085812e+12,3.366838e+11,4.662187e+11,2.857810e+11,3.919433e+11,1.609412e+14,1.218157e+10,379.20,399.17,81.53,7.2407e+19,True
700.0,2.7017,8.724503e+09,17.4960,7.048650e+13,6.632329e+13,2.648064e+13,2.270599e+12,4.755600e+12,3.316290e+11,4.661419e+11,2.919945e+11,4.249964e+11,1.609412e+14,1.524849e+10,381.18,400.79,83.55,8.0758e+19,True
750.0,2.6529,1.075107e+10,14.7938,7.779881e+13,6.356385e+13,2.348987e+13,2.173556e+12,4.423394e+12,3.248938e+11,4.634998e+11,2.957876e+11,4.552502e+11,1.609412e+14,1.891037e+10,378.04,397.30,85.40,8.8840e+19,True
800.0,2.6068,1.317448e+10,12.5143,8.531828e+13,6.054651e+13,2.076316e+13,2.070306e+12,4.101963e+12,3.174165e+11,4.595163e+11,2.979541e+11,4.831469e+11,1.609412e+14,2.316461e+10,369.31,388.22,87.10,9.6194e+19,True
850.0,2.5640,1.602362e+10,10.6082,9.292165e+13,5.740416e+13,1.832311e+13,1.964946e+12,3.802732e+12,3.100791e+11,4.553789e+11,2.993133e+11,5.093461e+11,1.609412e+14,2.792260e+10,355.38,373.99,88.62,1.0233e+20,True
900.0,2.5256,1.927185e+10,9.0450,1.004183e+14,5.429469e+13,1.619989e+13,1.862369e+12,3.535887e+12,3.036438e+11,4.521173e+11,3.005964e+11,5.343381e+11,1.609412e+14,3.296584e+10,337.62,355.95,89.93,1.0681e+20,True
950.0,2.4918,2.287683e+10,7.7750,1.076703e+14,5.133181e+13,1.439034e+13,1.766114e+12,3.305241e+12,2.985258e+11,4.503149e+11,3.022875e+11,5.586274e+11,1.609412e+14,3.803940e+10,317.98,336.07,91.06,1.0948e+20,True
1000.0,2.4625,2.677032e+10,6.7506,1.145696e+14,4.859180e+13,1.287144e+13,1.678317e+12,3.110138e+12,2.948292e+11,4.501334e+11,3.045946e+11,5.824177e+11,1.609412e+14,4.289785e+10,298.27,316.14,92.00,1.1043e+20,True
1050.0,2.4345,3.101098e+10,5.9124,1.210881e+14,4.606427e+13,1.160627e+13,1.599803e+12,2.946820e+12,2.923629e+11,4.512229e+11,3.073717e+11,6.065170e+11,1.609412e+14,4.730998e+10,280.47,298.14,92.79,1.0982e+20,True
1100.0,2.4126,3.536328e+10,5.2327,1.272397e+14,4.380060e+13,1.053405e+13,1.528710e+12,2.807710e+12,2.909849e+11,4.536870e+11,3.108038e+11,6.295831e+11,1.609412e+14,5.134263e+10,263.41,280.92,93.45,1.0817e+20,True
1150.0,2.3920,3.997486e+10,4.6652,1.330428e+14,4.173370e+13,9.627200e+12,1.465002e+12,2.689202e+12,2.903709e+11,4.569008e+11,3.145093e+11,6.526283e+11,1.609412e+14,5.484716e+10,248.58,265.94,94.02,1.0560e+20,True
1200.0,2.3733,4.479054e+10,4.1890,1.385241e+14,3.985240e+13,8.850522e+12,1.407422e+12,2.586605e+12,2.903184e+11,4.606556e+11,3.183994e+11,6.752663e+11,1.609412e+14,5.786301e+10,235.58,252.81,94.50,1.0242e+20,True
1250.0,2.3560,4.982854e+10,3.7828,1.437275e+14,3.812707e+13,8.176545e+12,1.354879e+12,2.496234e+12,2.906456e+11,4.647231e+11,3.223573e+11,6.975094e+11,1.609412e+14,6.042252e+10,224.22,241.32,94.92,9.8809e+19,True
1300.0,2.3425,5.485076e+10,3.4398,1.486391e+14,3.657259e+13,7.584221e+12,1.306369e+12,2.415117e+12,2.912496e+11,4.690460e+11,3.263739e+11,7.180753e+11,1.609412e+14,6.270014e+10,213.75,230.75,95.29,9.5106e+19,True
1350.0,2.3275,6.025661e+10,3.1379,1.533266e+14,3.511277e+13,7.064297e+12,1.261888e+12,2.342331e+12,2.919520e+11,4.732302e+11,3.301858e+11,7.389692e+11,1.609412e+14,6.448446e+10,205.07,221.96,95.61,9.1107e+19,True
1400.0,2.3142,6.582395e+10,2.8724,1.578173e+14,3.375848e+13,6.596980e+12,1.220118e+12,2.275060e+12,2.927275e+11,4.773776e+11,3.338939e+11,7.589412e+11,1.609412e+14,6.600123e+10,197.21,214.01,95.90,8.7082e+19,True
1450.0,2.3017,7.155638e+10,2.6390,1.620942e+14,3.250203e+13,6.178084e+12,1.181079e+12,2.212882e+12,2.935036e+11,4.813501e+11,3.374057e+11,7.780294e+11,1.609412e+14,6.724535e+10,190.24,206.95,96.16,8.3089e+19,True
1500.0,2.2900,7.749569e+10,2.4305,1.661987e+14,3.132404e+13,5.797889e+12,1.144197e+12,2.154551e+12,2.942427e+11,4.851179e+11,3.407144e+11,7.963604e+11,1.609412e+14,6.825652e+10,184.00,200.62,96.40,7.9149e+19,True
1550.0,2.2792,8.357848e+10,2.2456,1.701088e+14,3.022606e+13,5.453552e+12,1.109478e+12,2.099841e+12,2.949131e+11,4.886259e+11,3.437842e+11,8.137106e+11,1.609412e+14,6.906914e+10,178.40,194.95,96.61,7.5334e+19,True
1600.0,2.2689,8.985838e+10,2.0786,1.738657e+14,2.919100e+13,5.137906e+12,1.076447e+12,2.047841e+12,2.954989e+11,4.918754e+11,3.466268e+11,8.302566e+11,1.609412e+14,6.971177e+10,173.34,189.81,96.81,7.1635e+19,True
1650.0,2.2592,9.630497e+10,1.9280,1.774646e+14,2.821665e+13,4.848347e+12,1.045039e+12,1.998338e+12,2.959874e+11,4.948480e+11,3.492324e+11,8.459127e+11,1.609412e+14,7.021146e+10,168.75,185.15,96.99,6.8082e+19,True
1700.0,2.2501,1.029020e+11,1.7918,1.809090e+14,2.729863e+13,4.582059e+12,1.015140e+12,1.951079e+12,2.963728e+11,4.975405e+11,3.516027e+11,8.606582e+11,1.609412e+14,7.059251e+10,164.57,180.90,97.15,6.4692e+19,True
1750.0,2.2415,1.096872e+11,1.6671,1.842252e+14,2.642685e+13,4.335113e+12,9.864709e+11,1.905579e+12,2.966533e+11,4.999670e+11,3.537537e+11,8.746079e+11,1.609412e+14,7.087267e+10,160.73,177.00,97.31,6.1448e+19,True
1800.0,2.2336,1.166430e+11,1.5523,1.874305e+14,2.559541e+13,4.104183e+12,9.587802e+11,1.861409e+12,2.968395e+11,5.021659e+11,3.557179e+11,8.876910e+11,1.609412e+14,7.109268e+10,157.13,173.34,97.45,5.8355e+19,True
1850.0,2.2249,1.238304e+11,1.4489,1.904410e+14,2.481833e+13,3.896771e+12,9.331030e+11,1.820203e+12,2.968626e+11,5.039231e+11,3.573287e+11,9.003638e+11,1.609412e+14,7.111217e+10,154.13,170.28,97.58,5.5422e+19,True
1900.0,2.2182,1.311169e+11,1.3512,1.934305e+14,2.405931e+13,3.693786e+12,9.072334e+11,1.778444e+12,2.968626e+11,5.056770e+11,3.589320e+11,9.117777e+11,1.609412e+14,7.124202e+10,150.94,167.04,97.70,5.2631e+19,True
1950.0,2.2120,1.383372e+11,1.2642,1.962087e+14,2.335865e+13,3.510651e+12,8.831948e+11,1.739385e+12,2.967666e+11,5.071361e+11,3.602926e+11,9.221232e+11,1.609412e+14,7.131239e+10,148.08,164.13,97.82,5.0071e+19,True
2000.0,2.2054,1.457279e+11,1.1837,1.988319e+14,2.269926e+13,3.343740e+12,8.606485e+11,1.702490e+12,2.965479e+11,5.082655e+11,3.613908e+11,9.320149e+11,1.609412e+14,7.126377e+10,145.61,161.62,97.92,4.7658e+19,True
