r_cm,ne_cm3,Te_eV,nF_cm3,nSF6_cm3,alpha,n_neg_cm3
1.848583e-01,8.378399e+09,2.870657e+00,2.397354e+13,4.903001e+13,3.776145e+01,3.163805e+11
5.760035e-01,8.377874e+09,2.871444e+00,2.396567e+13,4.903672e+13,3.776163e+01,3.163621e+11
1.011899e+00,8.375589e+09,2.874709e+00,2.393266e+13,4.906505e+13,3.776264e+01,3.162843e+11
1.496343e+00,8.370764e+09,2.880763e+00,2.386975e+13,4.911990e+13,3.776620e+01,3.161319e+11
2.033118e+00,8.361669e+09,2.890074e+00,2.376835e+13,4.921075e+13,3.777650e+01,3.158746e+11
2.625886e+00,8.345146e+09,2.902991e+00,2.361707e+13,4.935167e+13,3.780208e+01,3.154639e+11
3.278073e+00,8.315794e+09,2.919543e+00,2.340140e+13,4.956307e+13,3.785861e+01,3.148244e+11
3.992723e+00,8.264844e+09,2.939180e+00,2.310307e+13,4.987385e+13,3.797289e+01,3.138401e+11
4.772336e+00,8.178796e+09,2.960477e+00,2.269955e+13,5.032376e+13,3.818840e+01,3.123351e+11
5.618700e+00,8.038179e+09,2.980815e+00,2.216380e+13,5.096491e+13,3.857234e+01,3.100514e+11
6.532698e+00,7.817227e+09,2.996119e+00,2.146469e+13,5.186078e+13,3.922417e+01,3.066242e+11
7.514138e+00,7.485481e+09,3.000798e+00,2.056905e+13,5.308011e+13,4.028700e+01,3.015676e+11
8.561582e+00,7.012600e+09,2.988219e+00,1.944581e+13,5.468231e+13,4.196520e+01,2.942851e+11
9.672215e+00,6.377308e+09,2.952245e+00,1.807323e+13,5.669180e+13,4.455457e+01,2.841382e+11
1.084175e+01,5.578581e+09,2.889869e+00,1.644825e+13,5.906357e+13,4.850769e+01,2.706041e+11
1.206440e+01,4.642799e+09,2.803847e+00,1.459495e+13,6.165241e+13,5.461014e+01,2.535439e+11
1.333290e+01,3.622183e+09,2.703846e+00,1.256692e+13,6.420608e+13,6.448015e+01,2.335589e+11
1.463866e+01,2.579569e+09,2.604914e+00,1.043951e+13,6.639853e+13,8.232021e+01,2.123506e+11
1.597193e+01,1.562036e+09,2.524948e+00,8.294912e+12,6.789284e+13,1.235545e+02,1.929966e+11
1.732208e+01,5.981591e+08,2.480717e+00,6.207422e+12,6.840396e+13,3.011325e+02,1.801251e+11
