Power_W,pOFF_Pa,Te_eV,ne_m3,alpha,dp_Pa,nSF6_m3,nSF5_m3,nSF4_m3,nSF3_m3,nF2_m3,nF_m3,nSF5p_m3,nSF4p_m3,nSF3p_m3,nF2p_m3,nSF6m_m3,nFm_m3,theta_F,theta_SF3,theta_SF4,theta_SF5
50.000000,0.921000,4.994646,3.052293e+14,61.953853,-4.703807e-03,1.726657e+20,3.963630e+18,1.343459e+18,4.033042e+17,1.051843e+19,2.535586e+18,1.191965e+16,6.437249e+14,6.506897e+15,1.450908e+14,7.179340e+15,1.173079e+16,0.043412,7.634850e-03,0.070271,0.509897
100.000000,0.921000,4.947582,6.483053e+14,42.099567,0.013765,1.670889e+20,5.781804e+18,3.314155e+18,8.216028e+17,1.325578e+19,5.414429e+18,1.870472e+16,1.319055e+15,7.653266e+15,2.646375e+14,1.030180e+16,1.699157e+16,0.027695,5.661170e-03,0.064753,0.688329
150.000000,0.921000,4.918559,9.966653e+14,33.860607,0.035944,1.653243e+20,6.764604e+18,5.203856e+18,1.196063e+18,1.423564e+19,8.051683e+18,2.385149e+16,2.017182e+15,8.528948e+15,3.467417e+14,1.271825e+16,2.102944e+16,0.023055,5.137242e-03,0.061851,0.740178
200.000000,0.921000,4.897086,1.351465e+15,28.998850,0.055210,1.638437e+20,7.480414e+18,6.881374e+18,1.525565e+18,1.510332e+19,1.037168e+19,2.812660e+16,2.719480e+15,9.274307e+15,4.220049e+14,1.474660e+16,2.444432e+16,0.022368,4.983604e-03,0.061450,0.750703
300.000000,0.921000,4.864967,2.085398e+15,23.165939,0.085715,1.603767e+20,8.537164e+18,9.739361e+18,2.109761e+18,1.699174e+19,1.446515e+19,3.512574e+16,4.124203e+15,1.057002e+16,5.756497e+14,1.810087e+16,3.020934e+16,0.024313,4.947308e-03,0.062026,0.740634
400.000000,0.921000,4.840337,2.850094e+15,19.641106,0.110235,1.567655e+20,9.293030e+18,1.215300e+19,2.637813e+18,1.881522e+19,1.819316e+19,4.081306e+16,5.521769e+15,1.176331e+16,7.309521e+14,2.087615e+16,3.510286e+16,0.027355,4.982573e-03,0.062328,0.721956
500.000000,0.921000,4.819862,3.642317e+15,17.218867,0.131581,1.533233e+20,9.862208e+18,1.427036e+19,3.129455e+18,2.045513e+19,2.172527e+19,4.563831e+16,6.909240e+15,1.292762e+16,8.837304e+14,2.328225e+16,3.943433e+16,0.030595,5.021782e-03,0.062239,0.702529
750.000000,0.921000,4.778762,5.730885e+15,13.433222,0.177496,1.456667e+20,1.080535e+19,1.873207e+19,4.247587e+18,2.377981e+19,3.009118e+19,5.528724e+16,1.033619e+16,1.584566e+16,1.246031e+15,2.828666e+16,4.869758e+16,0.038522,5.083279e-03,0.061134,0.657712
1000.000000,0.921000,4.745722,7.962312e+15,11.166373,0.217449,1.391073e+20,1.135626e+19,2.244040e+19,5.250729e+18,2.624951e+19,3.810501e+19,6.273634e+16,1.371888e+16,1.883992e+16,1.577318e+15,3.238416e+16,5.652598e+16,0.045861,5.094562e-03,0.059531,0.619189
1250.000000,0.921000,4.717232,1.033094e+16,9.613685,0.253928,1.333267e+20,1.168676e+19,2.566766e+19,6.168605e+18,2.810585e+19,4.594105e+19,6.876944e+16,1.707528e+16,2.192605e+16,1.878538e+15,3.590413e+16,6.341424e+16,0.052598,5.072629e-03,0.057804,0.585888
1500.000000,0.921000,4.691658,1.283621e+16,8.462908,0.288067,1.281159e+20,1.187960e+19,2.855211e+19,7.018871e+18,2.950126e+19,5.367836e+19,7.379529e+16,2.041858e+16,2.510240e+16,2.151600e+15,3.901511e+16,6.961655e+16,0.058792,5.030525e-03,0.056083,0.556746
1750.000000,0.921000,4.668101,1.548045e+16,7.564424,0.320484,1.233391e+20,1.198095e+19,3.117345e+19,7.813486e+18,3.053572e+19,6.135697e+19,7.805995e+16,2.375802e+16,2.836475e+16,2.398400e+15,4.181689e+16,7.528378e+16,0.064504,4.976826e-03,0.054420,0.530967
2000.000000,0.921000,4.646008,1.826792e+16,6.836467,0.351553,1.189045e+20,1.201903e+19,3.358162e+19,8.561202e+18,3.127898e+19,6.899778e+19,8.172582e+16,2.710008e+16,3.170935e+16,2.620703e+15,4.437408e+16,8.051395e+16,0.069788,4.917141e-03,0.052835,0.507957
2250.000000,0.921000,4.625019,2.120439e+16,6.230118,0.381511,1.147467e+20,1.201212e+19,3.580993e+19,9.268763e+18,3.178237e+19,7.661143e+19,8.490701e+16,3.044948e+16,3.513362e+16,2.820150e+15,4.673110e+16,8.537476e+16,0.074691,4.855182e-03,0.051337,0.487265
2500.000000,0.921000,4.604881,2.429694e+16,5.714089,0.410521,1.108177e+20,1.197257e+19,3.788161e+19,9.941557e+18,3.208528e+19,8.420281e+19,8.768753e+16,3.380976e+16,3.863626e+16,2.998292e+15,4.891975e+16,8.991515e+16,0.079252,4.793422e-03,0.049924,0.468537
2750.000000,0.921000,4.585412,2.755386e+16,5.267323,0.438696,1.070807e+20,1.190894e+19,3.981348e+19,1.058400e+19,3.221898e+19,9.177355e+19,9.013135e+16,3.718377e+16,4.221724e+16,3.156600e+15,5.096345e+16,9.417164e+16,0.083507,4.733511e-03,0.048595,0.451493
