Ar_fraction,Ar_percent,alpha,Te_eV,ne_cm3,nSF6_cm3,nF_cm3,nAr_metastable_cm3
0.0000,0.0,92.6953,2.9782,2.475829e+09,2.070696e+14,1.084711e+14,0.000000e+00
0.0500,5.0,84.8475,2.9624,2.726180e+09,1.865893e+14,1.104101e+14,2.273188e+08
0.1000,10.0,74.1723,2.9289,3.139694e+09,1.650832e+14,1.144184e+14,5.673816e+08
0.1500,15.0,63.9540,2.8883,3.679316e+09,1.440255e+14,1.189841e+14,1.085181e+09
0.2000,20.0,53.8604,2.8378,4.427452e+09,1.231332e+14,1.245327e+14,1.905198e+09
0.2500,25.0,43.8195,2.7729,5.538739e+09,1.021660e+14,1.315527e+14,3.283415e+09
0.3000,30.0,33.6679,2.6859,7.385234e+09,8.062243e+13,1.410685e+14,5.847136e+09
0.3500,35.0,23.0230,2.5585,1.117807e+10,5.733577e+13,1.557884e+14,1.165536e+10
0.4000,40.0,12.2501,2.3651,2.178321e+10,3.211762e+13,1.806325e+14,2.903429e+10
0.4500,45.0,6.7806,2.2181,3.846919e+10,1.800535e+13,1.954069e+14,5.602945e+10
0.5000,50.0,4.7145,2.1402,5.233348e+10,1.231993e+13,1.936265e+14,7.645791e+10
0.5500,55.0,3.6054,2.0891,6.371531e+10,9.141757e+12,1.850212e+14,9.223387e+10
0.6000,60.0,2.8637,2.0480,7.385386e+10,6.992479e+12,1.729014e+14,1.050397e+11
0.6500,65.0,2.3097,2.0131,8.307744e+10,5.387145e+12,1.585576e+14,1.158444e+11
0.7000,70.0,1.8594,1.9802,9.204889e+10,4.115903e+12,1.425234e+14,1.247522e+11
0.7500,75.0,1.4802,1.9521,1.001666e+11,3.069605e+12,1.251144e+14,1.327763e+11
0.8000,80.0,1.1457,1.9274,1.076163e+11,2.189077e+12,1.063492e+14,1.401162e+11
