Power_W,Te_eV,ne_cm3,alpha,nF_cm3,nF2_cm3,nSF6_cm3,nSF5_cm3,nSF4_cm3,nSF3_cm3,nSF2_cm3,nSF_cm3,nS_cm3,nAr_ground_cm3,nAr_metastable_cm3,Ec_eV,eps_T_eV,SF6_dissoc_pct,R_Penning_m3s,converged
200.0,3.5613,1.783889e+08,374.8699,1.398888e+13,6.033975e+13,2.392191e+14,2.409516e+12,5.849322e+12,7.443478e+10,2.875743e+11,5.674333e+10,1.317575e+10,0.000000e+00,0.000000e+00,192.46,218.30,25.68,0.0000e+00,True
250.0,3.5046,2.457815e+08,311.4119,1.706919e+13,7.073151e+13,2.250953e+14,2.632230e+12,6.891329e+12,1.008643e+11,3.212459e+11,7.496786e+10,2.185295e+10,0.000000e+00,0.000000e+00,201.04,226.48,30.07,0.0000e+00,True
300.0,3.4518,3.263048e+08,261.9825,2.025566e+13,8.028473e+13,2.118572e+14,2.824964e+12,7.830960e+12,1.289959e+11,3.501374e+11,9.401820e+10,3.313594e+10,0.000000e+00,0.000000e+00,209.68,234.73,34.18,0.0000e+00,True
350.0,3.4089,4.170122e+08,224.8985,2.347150e+13,8.877230e+13,1.998062e+14,2.987006e+12,8.637447e+12,1.572129e+11,3.771516e+11,1.137028e+11,4.689127e+10,0.000000e+00,0.000000e+00,217.12,241.87,37.93,0.0000e+00,True
400.0,3.3699,5.193609e+08,195.7936,2.673685e+13,9.627030e+13,1.888304e+14,3.124715e+12,9.323818e+12,1.849689e+11,4.017222e+11,1.334268e+11,6.285924e+10,0.000000e+00,0.000000e+00,224.22,248.68,41.34,0.0000e+00,True
450.0,3.3388,6.314590e+08,172.6910,3.006064e+13,1.028875e+14,1.787984e+14,3.241023e+12,9.895242e+12,2.117360e+11,4.263854e+11,1.537485e+11,8.116632e+10,0.000000e+00,0.000000e+00,230.06,254.29,44.45,0.0000e+00,True
500.0,3.3115,7.543674e+08,153.8189,3.344943e+13,1.086786e+14,1.696397e+14,3.339498e+12,1.036380e+13,2.371611e+11,4.500425e+11,1.740820e+11,1.014240e+11,0.000000e+00,0.000000e+00,235.29,259.32,47.30,0.0000e+00,True
550.0,3.2868,8.885545e+08,138.1037,3.691458e+13,1.137226e+14,1.612551e+14,3.422786e+12,1.074046e+13,2.610294e+11,4.726374e+11,1.942308e+11,1.233661e+11,0.000000e+00,0.000000e+00,240.04,263.89,49.90,0.0000e+00,True
600.0,3.2643,1.034080e+09,124.8681,4.045534e+13,1.180792e+14,1.535773e+14,3.492787e+12,1.103452e+13,2.831416e+11,4.940475e+11,2.139663e+11,1.466400e+11,0.000000e+00,0.000000e+00,244.37,268.06,52.29,0.0000e+00,True
650.0,3.2436,1.190842e+09,113.6231,4.406829e+13,1.218086e+14,1.465414e+14,3.551101e+12,1.125517e+13,3.033811e+11,5.141775e+11,2.330949e+11,1.708782e+11,0.000000e+00,0.000000e+00,248.31,271.85,54.47,0.0000e+00,True
700.0,3.2241,1.360081e+09,103.8770,4.777302e+13,1.249850e+14,1.400482e+14,3.599490e+12,1.141254e+13,3.218220e+11,5.329380e+11,2.515066e+11,1.958412e+11,0.000000e+00,0.000000e+00,251.97,275.37,56.49,0.0000e+00,True
750.0,3.2060,1.540925e+09,95.4419,5.155147e+13,1.276506e+14,1.340653e+14,3.638828e+12,1.151358e+13,3.383939e+11,5.503120e+11,2.690548e+11,2.211341e+11,0.000000e+00,0.000000e+00,255.28,278.55,58.35,0.0000e+00,True
800.0,3.1889,1.733918e+09,88.0606,5.540785e+13,1.298596e+14,1.285288e+14,3.670264e+12,1.156618e+13,3.531873e+11,5.662431e+11,2.856483e+11,2.464891e+11,0.000000e+00,0.000000e+00,258.29,281.44,60.07,0.0000e+00,True
850.0,3.1726,1.940086e+09,81.5224,5.935158e+13,1.316599e+14,1.233772e+14,3.694802e+12,1.157732e+13,3.663256e+11,5.807032e+11,3.012312e+11,2.717002e+11,0.000000e+00,0.000000e+00,261.07,284.10,61.67,0.0000e+00,True
900.0,3.1571,2.158643e+09,75.7409,6.336526e+13,1.330883e+14,1.185842e+14,3.713053e+12,1.155266e+13,3.778615e+11,5.937417e+11,3.157531e+11,2.964842e+11,0.000000e+00,0.000000e+00,263.57,286.49,63.16,0.0000e+00,True
950.0,3.1421,2.391332e+09,70.5510,6.746592e+13,1.341840e+14,1.140918e+14,3.725834e+12,1.149770e+13,3.879627e+11,6.053682e+11,3.292158e+11,3.207476e+11,0.000000e+00,0.000000e+00,265.88,288.68,64.55,0.0000e+00,True
1000.0,3.1276,2.638212e+09,65.8829,7.164614e+13,1.349775e+14,1.098720e+14,3.733656e+12,1.141695e+13,3.967275e+11,6.156539e+11,3.416219e+11,3.443283e+11,0.000000e+00,0.000000e+00,267.97,290.67,65.87,0.0000e+00,True
1050.0,3.1136,2.899862e+09,61.6629,7.590486e+13,1.354971e+14,1.058944e+14,3.737011e+12,1.131445e+13,4.042743e+11,6.246707e+11,3.529955e+11,3.671262e+11,0.000000e+00,0.000000e+00,269.85,292.45,67.10,0.0000e+00,True
1100.0,3.0999,3.177021e+09,57.8285,8.024203e+13,1.357676e+14,1.021313e+14,3.736328e+12,1.119369e+13,4.107200e+11,6.324984e+11,3.633739e+11,3.890759e+11,0.000000e+00,0.000000e+00,271.54,294.04,68.27,0.0000e+00,True
1150.0,3.0866,3.470541e+09,54.3276,8.465791e+13,1.358107e+14,9.855842e+13,3.731978e+12,1.105769e+13,4.161765e+11,6.392216e+11,3.728035e+11,4.101390e+11,0.000000e+00,0.000000e+00,273.04,295.44,69.38,0.0000e+00,True
1200.0,3.0733,3.782814e+09,51.0967,8.916876e+13,1.356423e+14,9.514443e+13,3.724293e+12,1.090867e+13,4.207633e+11,6.449072e+11,3.813401e+11,4.303544e+11,0.000000e+00,0.000000e+00,274.40,296.71,70.44,0.0000e+00,True
1250.0,3.0604,4.112513e+09,48.1372,9.374771e+13,1.352837e+14,9.188835e+13,3.713511e+12,1.074944e+13,4.245492e+11,6.496784e+11,3.890332e+11,4.496262e+11,0.000000e+00,0.000000e+00,275.56,297.77,71.45,0.0000e+00,True
1300.0,3.0475,4.463492e+09,45.3845,9.842268e+13,1.347426e+14,8.875771e+13,3.699890e+12,1.058129e+13,4.276472e+11,6.535784e+11,3.959400e+11,4.680606e+11,0.000000e+00,0.000000e+00,276.58,298.70,72.43,0.0000e+00,True
1350.0,3.0346,4.836486e+09,42.8267,1.031844e+14,1.340323e+14,8.574532e+13,3.683637e+12,1.040616e+13,4.301296e+11,6.566914e+11,4.021085e+11,4.856467e+11,0.000000e+00,0.000000e+00,277.46,299.49,73.36,0.0000e+00,True
1400.0,3.0218,5.232949e+09,40.4427,1.080347e+14,1.331648e+14,8.283702e+13,3.664888e+12,1.022527e+13,4.320716e+11,6.591227e+11,4.076138e+11,5.024332e+11,0.000000e+00,0.000000e+00,278.18,300.11,74.26,0.0000e+00,True
1450.0,3.0092,5.652471e+09,38.2298,1.129541e+14,1.321559e+14,8.003165e+13,3.643829e+12,1.004043e+13,4.335357e+11,6.609739e+11,4.125154e+11,5.184085e+11,0.000000e+00,0.000000e+00,278.71,300.55,75.14,0.0000e+00,True
1500.0,2.9963,6.103368e+09,36.1275,1.180018e+14,1.309947e+14,7.729156e+13,3.620455e+12,9.850925e+12,4.346007e+11,6.622533e+11,4.168665e+11,5.337857e+11,0.000000e+00,0.000000e+00,279.13,300.87,75.99,0.0000e+00,True
1550.0,2.9835,6.582711e+09,34.1605,1.231303e+14,1.297040e+14,7.463179e+13,3.594964e+12,9.659039e+12,4.353091e+11,6.630881e+11,4.207251e+11,5.484847e+11,0.000000e+00,0.000000e+00,279.36,301.01,76.81,0.0000e+00,True
1600.0,2.9706,7.094496e+09,32.3068,1.283537e+14,1.282854e+14,7.203855e+13,3.567410e+12,9.465119e+12,4.357160e+11,6.635313e+11,4.241437e+11,5.626015e+11,0.000000e+00,0.000000e+00,279.42,300.98,77.62,0.0000e+00,True
1650.0,2.9577,7.642183e+09,30.5541,1.336777e+14,1.267428e+14,6.950339e+13,3.537843e+12,9.269645e+12,4.358690e+11,6.636425e+11,4.271731e+11,5.762097e+11,0.000000e+00,0.000000e+00,279.31,300.78,78.41,0.0000e+00,True
1700.0,2.9444,8.232934e+09,28.8800,1.391319e+14,1.250692e+14,6.700926e+13,3.506192e+12,9.072267e+12,4.358105e+11,6.634567e+11,4.298579e+11,5.894408e+11,0.000000e+00,0.000000e+00,279.06,300.43,79.18,0.0000e+00,True
1750.0,2.9311,8.865382e+09,27.2986,1.446770e+14,1.232844e+14,6.456780e+13,3.472645e+12,8.874658e+12,4.355783e+11,6.630721e+11,4.322520e+11,6.022649e+11,0.000000e+00,0.000000e+00,278.60,299.87,79.94,0.0000e+00,True
1800.0,2.9174,9.550461e+09,25.7823,1.503606e+14,1.213729e+14,6.215661e+13,3.437015e+12,8.675772e+12,4.352067e+11,6.625039e+11,4.343938e+11,6.148580e+11,0.000000e+00,0.000000e+00,277.97,299.15,80.69,0.0000e+00,True
1850.0,2.9035,1.029209e+10,24.3327,1.561726e+14,1.193419e+14,5.977695e+13,3.399341e+12,8.476265e+12,4.347276e+11,6.618191e+11,4.363298e+11,6.272635e+11,0.000000e+00,0.000000e+00,277.15,298.23,81.43,0.0000e+00,True
1900.0,2.8892,1.109693e+10,22.9452,1.621168e+14,1.171927e+14,5.742501e+13,3.359590e+12,8.276312e+12,4.341702e+11,6.610702e+11,4.381028e+11,6.395609e+11,0.000000e+00,0.000000e+00,276.12,297.09,82.16,0.0000e+00,True
1950.0,2.8744,1.197850e+10,21.6049,1.682305e+14,1.149118e+14,5.508588e+13,3.317526e+12,8.075061e+12,4.335583e+11,6.602861e+11,4.397507e+11,6.519047e+11,0.000000e+00,0.000000e+00,274.89,295.76,82.89,0.0000e+00,True
2000.0,2.8594,1.293832e+10,20.3242,1.744715e+14,1.125197e+14,5.277297e+13,3.273333e+12,7.873942e+12,4.329208e+11,6.595496e+11,4.413211e+11,6.642819e+11,0.000000e+00,0.000000e+00,273.41,294.16,83.60,0.0000e+00,True
